StartPolicyValues,EndPolicyValues,StartPolicyActions,EndPolicyActions
-0.8332416,0.73894,Down,Up
-0.8770038,0.6898261,Down,Left
-0.928544,0.6713133,Right,Up
-0.9627157,0.5730276,Left,Down
-0.7971026,0.7998638,Left,Up
0,0,Obs Act N/A,Obs Act N/A
-0.3853259,0.7402661,Up,Left
-1,-1,Term Act N/A,Term Act N/A
-0.760671,0.8503672,Left,Right
-0.3082028,0.9128716,Right,Right
-0.2716902,0.9648017,Down,Right
1,1,Goal Act N/A,Goal Act N/A
