StartPolicyValues,EndPolicyValues,StartPolicyActions,EndPolicyActions
0,0.8715254,Down,Left
0,0,Term Act N/A,Term Act N/A
1,1,Goal Act N/A,Goal Act N/A
0,0.8979356,Left,Up
0,0.9251462,Left,Up
0,0.9803917,Up,Right
